question,answer
വടക്ക്-കിഴക്കന്‍ മേഖലയിൽ എത്രസമയത്തെ പന്നി വികസനത്തിന് എന്താണ് ലക്ഷ്യം?,"വടക്ക്-കിഴക്കന്‍ മേഖലയിൽ പന്നി വികസനത്തിന്, ജനിതക മെച്ചപ്പെടുത്തലും ആരോഗ്യപരിരക്ഷയും ഉൾപ്പെടെയുള്ള സമഗ്ര വികസനത്തിന് ആവശ്യമായ ഗവേഷണ പ്രവർത്തനങ്ങളെ സംയോജിപ്പിക്കുന്നതാണ് ലക്ഷ്യം."
തീറ്റയും കാലിത്തീറ്റ വികസനത്തിന്റെ പ്രധാന ലക്ഷ്യം എന്താണ്?,"തീറ്റയും കാലിത്തീറ്റ വികസനത്തിന്റെ ലക്ഷ്യം, മൃഗ സംരക്ഷണത്തിന്റെയും കാലിത്തീറ്റ സ്രോതസ്സുകളുടെയും ദൌര്‍ലഭ്യം പരിഹരിക്കുകയും കന്നുകാലി മേഖലക്ക് ഉത്തേജനം നൽകുകയും ചെയ്യുക."
നാഷണല്‍ ലൈവ് സ്റ്റോക്ക് മിഷന്റെ നാലാം ഉപവിഭാഗം എന്താണ്?,"നാഷണല്‍ ലൈവ് സ്റ്റോക്ക് മിഷന്റെ നാലാം ഉപവിഭാഗം, നൈപുണ്യ വികസനം, സാങ്കേതിക വിദ്യ കൈമാറ്റം, വിപുലീകരണ പ്രവർത്തനങ്ങൾ എന്നിവയുമായി ബന്ധപ്പെട്ട് ഫീൽഡ് പ്രകടനങ്ങളെയും സാങ്കേതിക വിദ്യകളെയും പ്രോത്സാഹിപ്പിക്കുന്നതാണ്."
നാഷണല്‍ ലൈവ് സ്റ്റോക്ക് മിഷന്‍ പന്നി വികസനത്തിന് എങ്ങനെ സഹായിക്കും?,"വടക്ക്-കിഴക്കന്‍ മേഖലയിൽ പന്നി വികസനത്തിനായി, സെലക്ടീവ് ജനിതക മെച്ചപ്പെടുത്തലുകൾ, ആരോഗ്യ പരിരക്ഷ, പോസ്റ്റ്-ഹാർവെസ്റ്റ് പ്രവർത്തനങ്ങൾ എന്നിവ സംയോജിപ്പിച്ച് വികസനം പ്രോത്സാഹിപ്പിക്കും."
നാഷണല്‍ ലൈവ് സ്റ്റോക്ക് മിഷന്‍ ഉദ്‌ഭാവിച്ചത് എങ്ങനെ?,"ഈ മിഷന്‍ ഇന്ത്യയിലെ കന്നുകാലി, എരുമ, മറ്റ് മൃഗ സംരക്ഷണ ഇനങ്ങളുടെ ഗുണനിലവാരം മെച്ചപ്പെടുത്തലിന് സംരംഭമായാണ് ആരംഭിച്ചത്."
നാഷണല്‍ ലൈവ് സ്റ്റോക്ക് മിഷന്റെ ഭാഗമായ സബ്മിഷനുകൾ എങ്ങനെ പ്രവർത്തിക്കുന്നു?,"സബ്മിഷനുകൾ, ഗവേഷകർ, കാർഷിക തൊഴിലാളികൾ, വിപുലീകരണ തൊഴിലാളികൾ എന്നിവയുമായി സഹകരിച്ച് മുൻ‌നിരയിലുള്ള സാങ്കേതിക വിദ്യകൾ വികസിപ്പിക്കുകയും വ്യാപിപ്പിക്കുകയും ചെയ്യുന്നു."
തീറ്റയും കാലിത്തീറ്റ വികസനത്തിന്റെ എത്ര പ്രധാന ലക്ഷ്യങ്ങൾ ഉണ്ട്?,തീറ്റയും കാലിത്തീറ്റ വികസനത്തിന്റെ പ്രധാന ലക്ഷ്യങ്ങൾ രണ്ട് ആണ്: 1) മൃഗസംരക്ഷണത്തിന്റെയും 2) കാലിത്തീറ്റ സ്രോതസ്സുകളുടെയും ദൌർളഭ്യം പരിഹരിക്കുക.
പ്രധാൻ മന്ത്രി കിസാൻ സംസ്കാരം യോജന (PMKSY) എന്താണ്?,പ്രധാൻ മന്ത്രി കിസാൻ സംസ്കാരം യോജന (PMKSY) 2017-ൽ മെയ് മാസത്തിൽ ആരംഭിച്ച 'SAMPADA' സ്കീമിന്റെ ഭാഗമാണ്. ഈ പദ്ധതി 2016-2020 കാലയളവിൽ നടപ്പിലാക്കാൻ തീരുമാനിച്ചിരുന്നു.
PMKSY-യുടെ പ്രധാന ലക്ഷ്യം എന്താണ്?,PMKSY-യുടെ പ്രധാന ലക്ഷ്യം കൃഷി രംഗത്തെ വികസനം പ്രോത്സാഹിപ്പിച്ച് കാർഷിക ഉത്പന്നങ്ങളുടെ പ്രോസസ്സിംഗ് വഴി ക്ഷയവും പാഴ്‌വഴിയും കുറക്കുകയെന്നതാണ്.
PMKSY-യുടെ കീഴിൽ നടപ്പിലാക്കുന്ന പദ്ധതികളിൽ എന്തെല്ലാമാണ്?,"PMKSY-യുടെ കീഴിൽ പ്രവർത്തിക്കുന്ന പ്രധാന പദ്ധതികളിൽ മെഗാ ഫുഡ് പാർക്കുകൾ, ഇന്റഗ്രേറ്റഡ് കോൾഡ് ചെയിൻ, ഫുഡ് പ്രോസസ്സിംഗ് കപ്പാസിറ്റികൾ, ഇന്റഗ്രേറ്റഡ് കോൾഡ് ചെയിൻ, ഫുഡ് സെഫ്റ്റി & ക്വാളിറ്റി അഷുറൻസ്,  ബാക്ക്വേഡ് & ഫോർവേർഡ് ലിങ്കേജുകൾ എന്നിവ ഉൾപ്പെടുന്നു."
PMKSYയുടെ കീഴിൽ മെഗാ ഫുഡ് പാർക്ക് എന്താണ്?,"മെഗാ ഫുഡ് പാർക്ക്, കാർഷിക ഉത്പന്നങ്ങളുടെ പ്രോസസ്സിംഗ്, സംഭരണം, ഉൽപ്പന്നങ്ങളുടെ വേഗത, നിലവാരം, സുരക്ഷ എന്നിവ വികസിപ്പിക്കാൻ ഉള്ള സംരംഭമാണ്."
PMKSY പദ്ധതിയുടെ സാമ്പത്തിക സംരംഭം എത്രമാത്രമാണ്?,"PMKSY പദ്ധതിക്ക് 6000 കോടി രൂപ വ്യവസ്ഥ ചെയ്ത് 31,400 കോടി രൂപയുടെ നിക്ഷേപവും 1,04,125 കോടി രൂപ വിലമതിക്കുന്ന 334 ലക്ഷം മെട്രിക് ടൺ കാർഷിക ഉത്പന്നങ്ങൾ കൈകാര്യം ചെയ്യാൻ സാധ്യതയുണ്ടാകും."
PMKSY പദ്ധതിയുടെ പ്രതീക്ഷകൾ എന്തെല്ലാമാണ്?,"PMKSY പദ്ധതിയുടെ പ്രതീക്ഷകളിൽ 5,30,500 തൊഴിൽ അവസരങ്ങൾ സൃഷ്ടിക്കുക, കർഷകർക്ക് കൂടുതൽ വില ലഭ്യമാക്കുക, കൃഷി ഉത്പന്നങ്ങളുടെ മിതമായ വാടകകളും പരിഷ്കരിച്ച് സംസ്‌കരണം നടത്തി കയറ്റുമതിയോഗ്യമായ ഭക്ഷ്യപാതാർത്തകൾ ലഭ്യമാക്കുക."
PMKSYയുടെ ഫലങ്ങൾ എന്തെല്ലാമാകും?,"PMKSY പദ്ധതിയുടെ ഫലങ്ങളായി കർഷകന്റെ വരുമാനം ഇരട്ടിയാകും, കൂടുതൽ തൊഴിൽ അവസരങ്ങൾ ഉണ്ടാകും, കൃഷി ഉത്പന്നങ്ങളുടെ ചുരുങ്ങിയ മുടക്കാണ്, പ്രോസസ്സിംഗ് ഉപഭോക്താക്കൾക്ക് ഉൽപ്പന്നത്തിന്റെ ഗുണമേന്മ വർധിപ്പിക്കും."
PMKSY പ്രകാരം കൃഷി ഉത്പന്നങ്ങളുടെ വില എങ്ങനെ വർധിക്കും?,"PMKSY പ്രകാരം കൃഷി ഉത്പന്നങ്ങളുടെ പ്രോസസ്സിംഗിലൂടെ പാഴായിപ്പോകുന്ന ഉത്പന്നങ്ങൾ കുറക്കാനും, സമ്പൂർണ്ണ ഗുണനിലവാരവും വിലയും വർധിപ്പിക്കാൻ കഴിയും."
PMKSY പദ്ധതി എങ്ങനെ ഗ്രാമപ്രദേശങ്ങളിലേക്കുള്ള തൊഴിൽ അവസരങ്ങൾ സൃഷ്ടിക്കും?,"PMKSY പദ്ധതിയിലൂടെ ഗ്രാമപ്രദേശങ്ങളിൽ വലിയ തൊഴിൽ അവസരങ്ങൾ സൃഷ്ടിക്കാൻ കഴിയും, പ്രത്യേകിച്ച് വ്യവസായങ്ങൾക്കുള്ള അവസരങ്ങളും കാർഷിക ഉത്പന്നങ്ങളുടെ പ്രോസസ്സിംഗിനുള്ള സ്ഥലം."
തെങ്ങിന് ഇന്‍ഷുറന്‍സ് പദ്ധതിയുടെ ലക്ഷ്യം എന്താണ്?,"തെങ്ങിന് ഇന്‍ഷുറന്‍സ് പദ്ധതിയുടെ ലക്ഷ്യം, പ്രകൃതിക്ഷോഭം, രോഗ-കീടാക്രമണം മുതലായവ മൂലമുള്ള നാശനഷ്ടങ്ങളിൽ നിന്നുള്ള റിസ്ക് പരിരക്ഷിച്ചുകൊണ്ട് തെങ്ങിന് സംരക്ഷണം നൽകുകയാണ്."
തെങ്ങിന് ഇന്‍ഷുറന്‍സ് പദ്ധതിയിൽ പ്രീമിയം എത്ര?,4-15 വർഷം പ്രായമുള്ള തെങ്ങുകൾക്ക് 9 രൂപയുടെ പ്രീമിയം ഉണ്ട്. 16-60 വർഷം പ്രായമുള്ള തെങ്ങുകൾക്ക് 14 രൂപയുടെ പ്രീമിയം ഉണ്ട്.
നാഷണല്‍ ലൈവ് സ്റ്റോക്ക്‌ മിഷന്‍ എന്താണ്?,"നാഷണല്‍ ലൈവ് സ്റ്റോക്ക്‌ മിഷന്‍ കന്നുകാലി ഉത്പാദന സംവിധാനത്തെ മെച്ചപ്പെടുത്തുന്ന ഒരു പദ്ധതിയാണ്. ഇത് കന്നുകാലി, മൃഗ സംരക്ഷണം, പന്നി വികസനം, മൃഗസമ്പദ്‌വ്യവസ്ഥയിലെ വികസനത്തെ പ്രോത്സാഹിപ്പിക്കുന്നു."
നാഷണല്‍ ലൈവ് സ്റ്റോക്ക്‌ മിഷന്‍യുടെ 4 ഉപവിഭാഗങ്ങൾ എന്തെല്ലാമാണ്?,"നാഷണല്‍ ലൈവ് സ്റ്റോക്ക്‌ മിഷന്‍ 4 ഉപവിഭാഗങ്ങളിൽ പ്രവർത്തിക്കുന്നു: കന്നുകാലി വികസനം, വടക്ക്-കിഴക്കൻ മേഖലയിലെ പന്നി വികസനം, തീറ്റയും കാലിത്തീറ്റ വികസനം, നൈപുണ്യ വികസനം, സാങ്കേതിക വിദ്യ കൈമാറ്റം."
